id,fav,house_flag,auto,book,blood,roots,name,arts_type,maxLv,timing,judge,target,arts_range,cost,description
1,0,0,1,基本,アタッカー,アタッカー,ストライクフォーム,自動/魔獣,1,常時,自動成功,自身,なし,0,《魔獣化》中、あなたが行なう攻撃のダメージに+[最も高い能力値B]。《魔獣化》を「タイミング：セットアップ」で使用できる。
2,0,0,1,基本,アタッカー,アタッカー,万物の打倒者,自動,1,判定直後,自動成功,単体,シーン,愛,対象の判定達成値-20。1シナリオ1回。
3,0,0,1,基本,アタッカー,アタッカー,魔獣の殺意,自動,1,DR直前,自動成功,自身,なし,1,あなたが行なうDRに+1D6。
4,0,0,0,基本,アタッカー,アタッカー,ビーストブレイク,攻撃/魔獣,1,メジャー,白兵/射撃,単体,武器,2,対象に白兵か射撃攻撃を行い、その攻撃ダメージに+[最も高い【能力値B】]。
5,0,0,0,基本,アタッカー,アタッカー,捨て身,攻撃,1,メジャー,白兵/射撃,単体,武器,3,対象に白兵か射撃攻撃を行い、その攻撃ダメージに+[最も高い【基本能力値】]。攻撃後、【FP】10点失う。
6,0,0,0,基本,アタッカー,アタッカー,スピードスター,なし,1,効果参照,自動成功,自身,なし,2,あなたの移動直後に使用可能。そのラウンド中、あなたの命中判定+2。
7,0,0,0,基本,アタッカー,アタッカー,全力全壊,攻撃,1,メジャー,白兵/射撃,単体,武器,3,対象に白兵か射撃攻撃を行い、その攻撃ダメージに+2D6。攻撃後、使用した武器は破壊される(素手の場合、シーン中は全ての素手が使用不可)。
8,0,0,0,基本,アタッカー,アタッカー,敵陣一掃,攻撃,1,メジャー,白兵/射撃,範囲,武器,2,対象に白兵か射撃攻撃を行い、その攻撃を「対象：範囲」にする。
9,0,0,0,基本,アタッカー,アタッカー,突撃,なし,3,ムーブ,自動成功,自身,なし,1,通常移動を行い、このメインプロセスに行なう白兵攻撃の命中に+Lv。
10,0,0,0,基本,アタッカー,アタッカー,トラップマスター,攻撃,3,メジャー,効果参照,単体,シーン,2,取得時【基本能力値】1つ選択し、それを判定値とする。対象に[選択した基本能力値+(Lv)D6]点のダメージを与える特殊攻撃を行なう。対象は同じ【基本能力値】でドッジを行なう。
11,0,0,0,基本,アタッカー,アタッカー,バトルヒステリア,なし,3,判定直前,自動成功,自身,なし,1,次に行なう判定の達成値+3。戦闘中のみ、かつ絆を持つ相手と同じエンゲージいなければ使用できない。1シーン3回。
12,0,0,0,基本,アタッカー,アタッカー,ヘヴィバッシュ,なし,1,判定直前,自動成功,自身,なし,1,攻撃の命中判定直前、武器を1つしか装備していない時のみ使用可能。その攻撃ダメージに-[使用する武器の行動値修正]。
13,0,0,0,基本,アタッカー,アタッカー,マルチウェポン,なし,5,判定直前,自動成功,自身,なし,1,攻撃の命中判定直前、武器を[Lv+1]個以上装備している時のみ使用可能。その攻撃ダメージに+[Lv×2]する。
14,0,0,0,基本,アタッカー,アタッカー,リインフォース,なし,3,効果参照,自動成功,自身,なし,2,解放状態になった直後に使用可能。シーン中、あなたの攻撃ダメージ+[Lv×5]。1シナリオ1回。
15,0,0,0,基本,アタッカー,アタッカー,ゼロ距離射撃,なし,1,ムーブ,自動成功,自身,なし,2,そのメインプロセス中、あなたが行なう射撃攻撃を「射程：至近」に変更する。
16,0,0,0,DE,アタッカー,アタッカー,一点突破,なし,1,効果参照,自動成功,自身,なし,2,「対象：範囲」「対象：シーン」「対象：n体」の攻撃を行なう直前に使用可能。その攻撃を単体に変更し、攻撃ダメージに+5する。この効果は攻撃を単体以外にする効果よりも優先される。
17,0,0,0,DE,アタッカー,アタッカー,気力充填,なし,3,マイナー,自動成功,自身,なし,2,そのメインプロセス中、あなたが行なう攻撃ダメージに+(Lv)D6。
18,0,0,0,DE,アタッカー,アタッカー,キリングオーラ,魔獣,10,常時,自動成功,自身,なし,効果参照,《魔獣化》中、攻撃ダメージに+[Lv×2]する。このアーツのコストは[Lv/2(端数切捨て)+1]となる。
19,0,0,0,DE,アタッカー,アタッカー,渾身撃,なし,5,効果参照,自動成功,自身,なし,4,待機を宣言する時に使用可能。あなたが次に行なう攻撃のダメージを+[Lv×4]する。
20,0,0,0,DE,アタッカー,アタッカー,死角なき技,なし,1,マイナー,自動成功,自身,なし,3,そのメインプロセス中、あなたが行なう白兵攻撃を「射程：遠隔」に変更する。
21,0,0,0,DE,アタッカー,アタッカー,シャープストライク,攻撃,3,メジャー,白兵/射撃,単体,武器,2,対象に白兵か射撃攻撃を行い、その命中判定の達成値に+[Lv×2]。
22,0,0,0,DE,アタッカー,アタッカー,デススポット,魔獣,1,効果参照,自動成功,自身,なし,3,命中判定クリティカル直後に使用可能。その攻撃のDRに+[命中判定の達成値/10]D6。
23,0,0,0,DE,アタッカー,アタッカー,バトルスタイル,魔獣,3,常時,自動成功,自身,なし,0,取得時【白兵値】か【射撃値】からひとつを選択する。《魔獣化》中、選択した【戦闘能力値】を+[Lv+1]。あなたの《魔獣化》コスト+1。《バトルスタイル：白兵値》のように記述し、選択した【戦闘能力値】ごとに別のアーツとして取得できる。
24,0,0,0,DE,アタッカー,アタッカー,ファストセット,なし,1,ムーブ,自動成功,自身,なし,2,あなたは即座にマイナーアクションを1回行なう。ただしこの時、アクションを複数回行なうようなアーツは使用できない。
25,0,0,0,DE,アタッカー,アタッカー,ブレイクバッシュ,なし,1,効果参照,自動成功,自身,なし,2,《ヘヴィバッシュ》の効果を受けた攻撃で1点でもダメージを与えた時に使用可能。ダメージに加え狼狽を与え、相手が飛行状態の場合はそれを解除する。
26,0,0,0,DE,アタッカー,アタッカー,ヘヴィキャリアー,なし,5,常時,自動成功,自身,なし,2,装備する武器全ての行動値修正を+[Lv+1](最大0)。
27,0,0,0,DE,アタッカー,アタッカー,魔獣の殺気,魔獣,3,常時,自動成功,自身,なし,0,《魔獣化》の効果中、あなたが取得している《魔獣の殺意》の効果をさらに+[Lv]D6し、コストを+Lvする。
